,,,Salary,Salary,Salary,Salary,Salary,Salary,,
292,Taurean Waller-Prince\princta02,ATL,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
293,Tim Hardaway\hardati02,ATL,$2281605,,,,,,1st Round Pick,$2281605
294,Reggie Bullock\bullore01,DET,$2255644,,,,,,1st Round Pick,$2255644
295,Joe Ingles\inglejo01,UTA,$2250000,,,,,,Cap Space,$2250000
296,Zach LaVine\lavinza01,MIN,$2240880,$3202217,,,,,1st Round Pick,$5443097
297,Devin Booker\bookede01,PHO,$2223600,$2319360,$3314365,,,,1st round pick,$4542960
298,Luc Mbah a Moute\mbahalu01,LAC,$2203000,$2302135,,,,,Bi-annual Exception,$2203000
299,Georgios Papagiannis\papagge01,SAC,$2202240,$2301360,$2400480,$3430288,,,1st Round pick,$4503600
300,Mo Williams\willima01,DEN,$2200000,,,,,,,$2200000
301,Andre Roberson\roberan03,OKC,$2183072,,,,,,1st Round Pick,$2183072
302,T.J. Warren\warretj01,PHO,$2128920,$3152931,,,,,1st Round Pick,$5281851
303,Rudy Gobert\goberru01,UTA,$2121288,$21224719,$22741573,$24258427,$25775281,,1st Round Pick,$96121288
304,Cameron Payne\payneca01,CHI,$2112480,$2203440,$3263295,,,,1st round pick,$4315920
305,Archie Goodwin\goodwar01,PHO,$2094089,,,,,,,$2094089
306,Denzel Valentine\valende01,CHI,$2092200,$2186400,$2280600,$3377569,,,1st Round pick,$4278600
307,Tim Frazier\fraziti01,NOP,$2090000,$2000000,,,,,Room exception,$4090000
308,Adreian Payne\paynead01,MIN,$2022240,,,,,,1st Round Pick,$2022240
309,Kelly Oubre\oubreke01,WAS,$2006640,$2093040,$3208630,,,,1st round pick,$4099680
310,Juan Hernangomez\hernaju01,DEN,$1987440,$2076840,$2166360,$3321030,,,1st Round pick,$4064280
311,Anderson Varejao\varejan01,POR,$1984005,$1984005,$1984005,$1984005,$1984005,,,$9920025
312,Lucas Nogueira\noguelu01,TOR,$1921320,$2947305,,,,,1st Round Pick,$4868625
313,Jusuf Nurkic\nurkiju01,POR,$1921320,$2947305,,,,,1st Round Pick,$4868625
314,Terry Rozier\roziete01,BOS,$1906440,$1988520,$3050390,,,,1st round pick,$3894960
315,Tim Duncan\duncati01,SAS,$1881250,$1881250,$1881250,,,,,$5643750
316,Larry Sanders\sandela01,MIL,$1865547,$1865547,$1865547,$1865547,$1865547,,,$11193282
317,James Young\youngja01,BOS,$1825200,,,,,,1st Round Pick,$1825200
318,Rashad Vaughn\vaughra01,MIL,$1811040,$1889040,$2901565,,,,1st round pick,$3700080
319,Kevin Seraphin\serapke01,IND,$1800000,$1881000,,,,,Cap Space,$1800000
320,Wade Baldwin\baldwwa01,MEM,$1793760,$1874400,$1955160,$3003126,,,1st Round pick,$3668160
321,Quincy Acy\acyqu01,BRK,$1790902,$1709538,,,,,Cap space,$1790902
322,Tyler Ennis\ennisty01,LAL,$1733880,,,,,,1st Round Pick,$1733880
323,Sam Dekker\dekkesa01,HOU,$1720560,$1794600,$2760095,,,,1st Round pick,$3515160
324,Joffrey Lauvergne\lauvejo01,CHI,$1709720,,,,,,MLE,$1709720
325,Henry Ellenson\ellenhe01,DET,$1704120,$1780800,$1857480,$2856804,,,1st Round pick,$3484920
326,Gary Harris\harriga01,DEN,$1655880,$2550055,,,,,1st Round Pick,$4205935
327,Jerian Grant\grantje02,CHI,$1643040,$1713840,$2639314,,,,1st Round pick,$3356880
328,Malik Beasley\beaslma01,DEN,$1627320,$1700640,$1773840,$2731714,,,1st Round pick,$3327960
329,Bruno Caboclo\cabocbr01,TOR,$1589640,$2451225,,,,,1st Round Pick,$4040865
330,Delon Wright\wrighde01,TOR,$1577280,$1645200,$2536898,,,,1st Round pick,$3222480
331,Caris LeVert\leverca01,BRK,$1562280,$1632480,$1702800,$2625718,,,1st Round pick,$3194760
332,David Lee\leeda02,SAS,$1551659,$1605967,,,,,Minimum Salary,$1551659
333,Lou Amundson\amundlo01,NYK,$1551659,,,,,,,$1551659
334,Steve Novak\novakst01,MIL,$1551659,,,,,,,$1551659
335,Jason Terry\terryja01,MIL,$1551659,,,,,,Minimum Salary,$1551659
336,Metta World Peace\artesro01,LAL,$1551659,,,,,,Minimum Salary,$1551659
337,Raymond Felton\feltora01,LAC,$1551659,,,,,,Minimum Salary,$1551659
338,Brandon Bass\bassbr01,LAC,$1551659,,,,,,Minimum Salary,$1551659
339,Anderson Varejao\varejan01,GSW,$1551659,,,,,,,$1551659
340,David West\westda01,GSW,$1551659,,,,,,Minimum Salary,$1551659
341,Beno Udrih\udrihbe01,DET,$1551659,,,,,,Minimum Salary,$1551659
342,James Jones\jonesja02,CLE,$1551659,,,,,,Minimum Salary,$1551659
343,Chris Andersen\anderch01,CHO,$1551659,,,,,,,$1551659
344,Jarrett Jack\jackja01,ATL,$1551659,,,,,,,$1551659
345,Mitch McGary\mcgarmi01,OKC,$1526040,,,,,,,$1526040
346,Justin Anderson\anderju01,PHI,$1514160,$1579440,$2516048,,,,1st Round pick,$3093600
347,Marcelo Huertas\huertma01,HOU,$1500000,,,,,,,$1500000
348,DeAndre' Bembry\bembrde01,ATL,$1499760,$1567200,$1634640,$2603982,,,1st Round pick,$3066960
349,Jordan Adams\adamsjo01,MEM,$1465080,,,,,,,$1465080
350,Bobby Portis\portibo01,CHI,$1453680,$1516320,$2494346,,,,1st Round pick,$2970000
351,Demetrius Jackson\jacksde01,BOS,$1450000,$1384750,$1319500,$1319500,,,Cap Space,$2100000
352,Malachi Richardson\richama01,SAC,$1439880,$1504560,$1569360,$2581597,,,1st Round pick,$2944440
353,Sasha Vujacic\vujacsa01,NYK,$1410598,,,,,,Minimum Salary,$1410598
354,Gerald Green\greenge01,BOS,$1410598,,,,,,Minimum Salary,$1410598
355,Rodney Hood\hoodro01,UTA,$1406520,$2386864,,,,,1st Round Pick,$3793384
356,Michael Beasley\beaslmi01,MIL,$1403611,,,,,,Minimum Salary,$1403611
357,Marreese Speights\speigma01,LAC,$1403611,$1459969,,,,,Minimum Salary,$1403611
358,JaVale McGee\mcgeeja01,GSW,$1403611,,,,,,Minimum Salary,$1403611
359,Alonzo Gee\geeal01,NOP,$1400000,,,,,,,$1400000
360,Rondae Hollis-Jefferson\holliro01,BRK,$1395600,$1455720,$2470357,,,,1st Round pick,$2851320
361,Willy Hernangomez\hernawi01,NYK,$1375000,$1435750,$1496500,$1557250,,,Cap Space,$4307250
362,Deyonta Davis\davisde01,MEM,$1369229,$1307614,$1245999,,,,Cap Space,$3922842
363,Kevin Martin\martike02,MIN,$1360305,$1360305,$1360305,,,,,$4080915
364,Nikola Jokic\jokicni01,DEN,$1358500,$1417000,$1475500,,,,,$2775500
365,Shabazz Napier\napiesh01,POR,$1350120,$2361360,,,,,1st Round Pick,$3711480
366,Tyus Jones\jonesty01,MIN,$1339680,$1397400,$2444053,,,,1st Round pick,$2737080
367,Sasha Kaun\kaunsa01,PHI,$1333420,,,,,,,$1333420
368,Timothe Luwawu-Cabarrot\luwawti01,PHI,$1326960,$1386600,$1446360,$2529684,,,1st Round pick,$2713560
369,Ty Lawson\lawsoty01,SAC,$1315448,,,,,,Minimum Salary,$1315448
370,Alan Anderson\anderal01,LAC,$1315448,,,,,,Minimum Salary,$1315448
371,Marcus Thornton\thornma01,BRK,$1315448,,,,,,,$1315448
372,Clint Capela\capelca01,HOU,$1296240,$2334520,,,,,1st Round Pick,$3630760
373,Jarell Martin\martija01,MEM,$1286160,$1341600,$2516222,,,,1st Round pick,$2627760
374,Brice Johnson\johnsbr02,LAC,$1273920,$1331160,$1388520,$2500725,,,1st Round pick,$2605080
375,Jeremy Evans\evansje01,IND,$1227286,,,,,,,$1227286
376,Lance Stephenson\stephla01,NOP,$1227286,,,,,,,$100000
377,Luke Babbitt\babbilu01,MIA,$1227000,,,,,,Minimum Salary,$1227000
378,Jordan Mickey\mickejo01,BOS,$1223653,$1276346,$1329039,,,,,$1223653
379,C.J. Wilcox\wilcocj01,ORL,$1209680,$2183328,,,,,1st Round Pick,$1209680
380,Larry Nance Jr.\nancela02,LAL,$1207680,$1259640,$2272391,,,,1st Round pick,$2467320
381,R.J. Hunter\hunterj01,BOS,$1200240,,,,,,,$1200240
382,Brandon Jennings\jennibr01,WAS,$1200000,,,,,,Room Exception,$1200000
383,Pascal Siakam\siakapa01,TOR,$1196040,$1249920,$1303680,$2351839,,,1st Round pick,$2445960
384,Kyle Anderson\anderky01,SAS,$1192080,$2151704,,,,,1st Round Pick,$3343784
385,Josh Huestis\huestjo01,OKC,$1191480,$1242840,$2243326,,,,,$2434320
386,Chris McCullough\mcculch01,BRK,$1191480,$1242840,$2243326,,,,1st Round pick,$2434320
387,Livio Jean-Charles\jeancli01,SAS,$1188840,$1242240,,,,,,$2431080
388,Skal Labissiere\labissk01,SAC,$1188840,$1242240,$1295760,$2338847,,,1st Round pick,$2431080
389,Kevon Looney\looneke01,GSW,$1182840,$1233840,$2227081,,,,1st Round pick,$2416680
390,Dejounte Murray\murrade01,SAS,$1180080,$1233240,$1286280,$2321735,,,1st Round pick,$2413320
391,Damian Jones\jonesda03,GSW,$1171560,$1224240,$1277040,$2305057,,,1st Round pick,$2395800
392,Isaiah Whitehead\whiteis01,BRK,$1074145,$1122248,$1170584,$1218920,,,Cap Space,$2196393
393,Rakeem Christmas\chrisra01,IND,$1052342,$1097658,$1142974,,,,,$1102342
394,Joe Young\youngjo01,IND,$1052342,$1097658,$1142974,,,,Cap Space,$1052342
395,Terrence Jones\joneste01,NOP,$1050961,,,,,,,$1050961
396,Thomas Robinson\robinth01,LAL,$1050961,,,,,,Minimum Salary,$1050961
397,Pablo Prigioni\prigipa01,HOU,$1050961,$1178992,,,,,,$1050961
398,Quincy Acy\acyqu01,DAL,$1050961,$1178992,,,,,,$1050961
399,Brian Roberts\roberbr01,CHO,$1050961,,,,,,Minimum Salary,$1050961
400,Glenn Robinson\robingl02,IND,$1050500,$1090500,,,,,Minimum Salary,$1050500
401,Ivica Zubac\zubaciv01,LAL,$1034956,$1081529,$1128102,,,,Cap Space,$2116485
402,Richaun Holmes\holmeri01,PHI,$1025831,$1014746,$1088038,,,,Cap Space,$1025831
403,Isaiah Canaan\canaais01,CHI,$1015696,$1087745,,,,,Minimum Salary,$1215696
404,Justin Holiday\holidju01,NYK,$1015696,,,,,,Minimum Salary,$1015696
405,Willie Reed\reedwi02,MIA,$1015696,$1087745,,,,,Cap Space,$1015696
406,Ian Clark\clarkia01,GSW,$1015696,,,,,,Minimum Salary,$1015696
407,DeAndre Liggins\liggide01,CLE,$1015696,$1087745,,,,,Minimum Salary,$1015696
408,Anthony Bennett\bennean01,BRK,$1015696,$1087745,,,,,,$1015696
409,Mike Muscala\muscami01,ATL,$1015696,,,,,,Minimum Salary,$1015696
410,Robert Covington\covinro01,PHI,$1015696,$1087745,,,,,,$50000
411,Jeff Withey\witheje01,UTA,$1015696,,,,,,,
412,Montrezl Harrell\harremo01,HOU,$1000000,$1100000,,,,,,$2100000
413,Elton Brand\brandel01,PHI,$1000000,,,,,,,$1000000
414,Walter Tavares\tavarwa01,ATL,$1000000,,,,,,,$1000000
415,Damjan Rudez\rudezda01,ORL,$980431,,,,,,Minimum Salary,$980431
416,James Michael McAdoo\mcadoja01,GSW,$980431,,,,,,Minimum Salary,$980431
417,Nick Johnson\johnsni01,DEN,$980431,,,,,,,$980431
418,Sean Kilpatrick\kilpase01,BRK,$980431,$1051245,,,,,Minimum Salary,$980431
419,Joe Harris\harrijo01,BRK,$980431,$1051245,,,,,Minimum Salary,$980431
420,JaMychal Green\greenja01,MEM,$980431,,,,,,Minimum Salary,$200000
421,Jerami Grant\grantje01,OKC,$980431,$1051245,,,,,,
422,Stephen Zimmerman\zimmest01,ORL,$950000,$992750,$1050262,,,,Cap Space,$950000
423,Jason Thompson\thompja02,GSW,$945126,$945126,$945126,,,,,$2835378
424,Andrew Harrison\harrian01,MEM,$945000,$987525,$1050262,,,,Cap Space,$1045000
425,Raul Neto\netora01,UTA,$937800,$1014746,,,,,,$937800
426,Malcolm Brogdon\brogdma01,MIL,$925000,$955249,$1050262,,,,Cap Space,$1880249
427,Wayne Ellington\ellinwa01,SAC,$923670,,,,,,,$6923780
428,Tyler Ulis\ulisty01,PHO,$918369,$905249,$1050262,$1126120,,,Cap Space,$1823618
429,Norman Powell\powelno01,TOR,$874636,$1014746,,,,,Cap Space,$874636
430,Jonathon Simmons\simmojo02,SAS,$874636,,,,,,Minimum Salary,$874636
431,Pat Connaughton\connapa01,POR,$874636,$1014746,,,,,Minimum Salary,$874636
432,Alan Williams\willial03,PHO,$874636,,,,,,Minimum Salary,$874636
433,Josh Richardson\richajo01,MIA,$874636,$1014746,,,,,Minimum Salary,$874636
434,Anthony Brown\brownan02,LAL,$874636,,,,,,,$874636
435,Jordan McRae\mcraejo01,CLE,$874636,,,,,,,$874636
436,Christian Wood\woodch01,CHO,$874636,$1014746,,,,,Cap Space,$874636
437,T.J. McConnell\mccontj01,PHI,$874636,$1014746,$1088038,,,,,
438,Salah Mejri\mejrisa01,DAL,$874636,$1014746,,,,,,
439,Cristiano Felicio\feliccr01,CHI,$874636,,,,,,,
440,Darrun Hilliard\hillida01,DET,$874060,$1014750,,,,,Cap space,$874060
441,Martell Webster\webstma02,WAS,$830000,$830000,$830000,,,,,$2490000
442,Michael Beasley\beaslmi01,PHO,$777777,,,,,,,$777777
443,Paul Zipser\zipsepa01,CHI,$750000,$905249,$1050262,$1126120,,,Cap Space,$1655249
444,Spencer Dinwiddie\dinwisp01,BRK,$726672,$1051245,$1125816,,,,Minimum Salary,$100000
445,Bobby Brown\brownbo02,HOU,$680534,,,,,,Minimum Salary,$680534
446,A.J. Hammons\hammoaj01,DAL,$650000,$905249,$1050262,,,,Cap Space,$2605511
447,Carlos Delfino\delfica01,LAC,$650000,$650000,$650000,,,,,$1950000
448,Michael Gbinije\gbinimi01,DET,$650000,$905240,$1050262,,,,Cap Space,$1150000
449,Georges Niang\niangge01,IND,$650000,$905249,$1050262,,,,Cap Space,$750000
450,John Lucas III\lucasjo02,MIN,$635753,,,,,,,$635753
451,Joel Bolomboy\bolomjo01,UTA,$600000,$905249,$1050262,,,,Cap Space,$1505249
452,Jake Layman\laymaja01,POR,$600000,$905249,$1050262,,,,Cap Space,$1505249
453,Donatas Motiejunas\motiedo01,NOP,$576724,,,,,,Minimum Salary,$576724
454,Chinanu Onuaku\onuakch01,HOU,$543471,$905249,$1050262,,,,Minimum Salary,$2498982
455,Cheick Diallo\diallch01,NOP,$543471,$905249,$1050262,,,,Minimum Salary,$1948720
456,Davis Bertans\bertada01,SAS,$543471,$905249,,,,,Minimum Salary,$1448720
457,Diamond Stone\stonedi01,LAC,$543471,$905249,,,,,Minimum Salary,$1448720
458,Patrick McCaw\mccawpa01,GSW,$543471,$905249,,,,,Minimum Salary,$1448720
459,Kay Felder\feldeka01,CLE,$543471,$905249,$1050262,,,,Minimum Salary,$1000000
460,Danuel House\houseda01,WAS,$543471,$905249,,,,,,$543471
461,Daniel Ochefu\ochefda01,WAS,$543471,$905249,$1050262,,,,Cap Space,$543471
462,Sheldon McClellan\mcclesh01,WAS,$543471,$905249,,,,,Minimum Salary,$543471
463,Fred VanVleet\vanvlfr01,TOR,$543471,$905249,,,,,Minimum Salary,$543471
464,Bryn Forbes\forbebr01,SAS,$543471,$905249,,,,,Minimum Salary,$543471
465,Tim Quarterman\quartti01,POR,$543471,$905249,,,,,Minimum Salary,$543471
466,Derrick Jones\jonesde02,PHO,$543471,$905249,$1050262,,,,Minimum Salary,$543471
467,Semaj Christon\chrisse01,OKC,$543471,$905249,$1050262,,,,Minimum Salary,$543471
468,Maurice Ndour\ndourma01,NYK,$543471,$905249,,,,,Minimum Salary,$543471
469,Ron Baker\bakerro01,NYK,$543471,,,,,,Minimum Salary,$543471
470,Marshall Plumlee\plumlma02,NYK,$543471,$905249,$1050262,,,,Minimum Salary,$543471
471,Rodney McGruder\mcgruro01,MIA,$543471,$905249,$1050262,,,,Minimum Salary,$543471
472,Troy Williams\willitr02,MEM,$543471,$905249,,,,,,$543471
473,Gary Payton\paytoga02,HOU,$543471,,,,,,,$543471
474,Kyle Wiltjer\wiltjky01,HOU,$543471,$905249,,,,,Minimum Salary,$543471
475,Jonathan Gibson\gibsojo01,DAL,$543471,,,,,,,$543471
476,Nicolas Brussino\brussni01,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$543471
477,Dorian Finney-Smith\finnedo01,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$543471
478,Treveon Graham\grahatr01,CHO,$543471,$905249,,,,,Minimum Salary,$543471
479,Caron Butler\butleca01,SAC,$517220,$517220,$517220,,,,,$1551660
480,Jordan Farmar\farmajo01,LAC,$510921,$510921,,,,,,$1021842
481,Jarrett Jack\jackja01,BRK,$500000,,,,,,,$500000
482,Joel Anthony\anthojo01,SAS,$497858,,,,,,Minimum Salary,$497858
483,John Jenkins\jenkijo01,PHO,$469841,,,,,,,$469841
484,Aaron Gray\grayaa01,DET,$452059,$452059,,,,,,$904118
485,Hollis Thompson\thompho01,PHI,$442126,,,,,,,$442126
486,Arinze Onuaku\onuakar01,ORL,$440078,,,,,,,$440078
487,Maurice Ndour\ndourma01,DAL,$437318,,,,,,,$437318
488,R.J. Hunter\hunterj01,CHI,$425000,,,,,,,$425000
489,Ryan Kelly\kellyry01,ATL,$418228,,,,,,,$418228
490,Alonzo Gee\geeal01,DEN,$417848,,,,,,,$417848
491,Aaron Harrison\harriaa01,CHO,$375579,,,,,,,$375579
492,Toney Douglas\douglto01,MEM,$348207,$1360000,,,,,Minimum Salary,$348207
493,Briante Weber\weberbr01,MIA,$328000,,,,,,,$328000
494,Andrea Bargnani\bargnan01,BRK,$323599,,,,,,,$323599
495,Gal Mekel\mekelga01,DAL,$315760,$315760,,,,,,$631520
496,Miroslav Raduljica\radulmi01,LAC,$300000,$300000,$300000,,,,,$900000
497,Ryan Kelly\kellyry01,ATL,$286785,$1577230,,,,,Minimum Salary,$286785
498,Ronnie Price\pricero01,PHO,$282595,,,,,,Minimum Salary,$282595
499,Deron Williams\willide01,CLE,$259626,,,,,,Minimum Salary,$259626
500,Isaiah Taylor\taylois01,HOU,$255000,$1312611,$1544951,,,,Minimum Salary,$255000
501,Bobby Brown\brownbo02,HOU,$253759,,,,,,,$253759
502,Yi Jianlian\jianlyi01,LAL,$250000,,,,,,,$250000
503,Elliot Williams\williel01,GSW,$250000,,,,,,,$250000
504,Ben Bentil\bentibe01,BOS,$250000,,,,,,,$250000
505,Norris Cole\coleno01,OKC,$247991,,,,,,Minimum Salary,$247991
506,Jose Calderon\caldejo01,GSW,$247991,,,,,,,$247991
507,Chasson Randle\randlch01,PHI,$233373,,,,,,,$233373
508,Nicolas Laprovittola\laproni01,SAS,$210995,,,,,,,$210995
509,Okaro White\whiteok01,MIA,$210995,$1312611,,,,,Minimum Salary,$210995
510,Yogi Ferrell\ferreyo01,DAL,$207798,$1312611,,,,,Minimum Salary,$207798
511,Ronnie Price\pricero01,PHO,$182548,,,,,,,$182548
512,Reggie Williams\willire02,NOP,$180483,,,,,,,$180483
513,Jarell Eddie\eddieja01,WAS,$175000,,,,,,,$175000
514,Joel Anthony\anthojo01,SAS,$165952,,,,,,,$165952
515,Brandon Paul\paulbr01,PHI,$155000,,,,,,,$155000
516,Toney Douglas\douglto01,MEM,$154758,,,,,,,$154758
517,Jarnell Stokes\stokeja01,DEN,$150000,,,,,,,$150000
518,Robbie Hummel\hummero01,DEN,$150000,,,,,,,$150000
519,Chasson Randle\randlch01,NYK,$143860,$1312611,,,,,Minimum Salary,$143860
520,Jonathan Gibson\gibsojo01,DAL,$137466,,,,,,,$137466
521,Derrick Williams\willide02,CLE,$134014,,,,,,10-day contract,$134014
522,Marcus Paige\paigema01,UTA,$125000,,,,,,,$125000
523,Quincy Acy\acyqu01,BRK,$123642,,,,,,,$123642
524,Ray McCallum\mccalra01,CHO,$119494,,,,,,,$119494
525,Johnny O'Bryant\obryajo01,DEN,$115344,,,,,,,$115344
526,Anthony Brown\brownan02,NOP,$108043,,,,,,,$108043
527,Briante Weber\weberbr01,GSW,$102898,,,,,,,$102898
528,Lamar Patterson\pattela01,ATL,$102898,,,,,,,$102898
529,Yogi Ferrell\ferreyo01,BRK,$102300,,,,,,,$102300
530,Toney Douglas\douglto01,MEM,$100593,,,,,,,$100593
531,Patricio Garino\garinpa01,SAS,$100000,,,,,,,$100000
532,Lamar Patterson\pattela01,SAC,$100000,,,,,,,$100000
533,Isaiah Cousins\cousiis01,SAC,$100000,,,,,,,$100000
534,Chris Wright\wrighch01,OKC,$100000,,,,,,,$100000
535,J.P. Tokoto\tokotjp01,NYK,$100000,,,,,,,$100000
536,Chasson Randle\randlch01,NYK,$100000,,,,,,,$100000
537,Stefan Jankovic\jankost01,MIA,$100000,,,,,,,$100000
538,Okaro White\whiteok01,MIA,$100000,,,,,,,$100000
539,Yogi Ferrell\ferreyo01,BRK,$100000,,,,,,,$100000
540,Egidijus Mockevicius\mockeeg01,BRK,$100000,,,,,,,$100000
541,Archie Goodwin\goodwar01,NOP,$95600,,,,,,,$95600
542,Jarrett Jack\jackja01,NOP,$91274,,,,,,10-day contract,$91274
543,Alonzo Gee\geeal01,DEN,$77379,,,,,,,$77379
544,Henry Sims\simshe01,UTA,$75000,,,,,,,$75000
545,Quincy Ford\fordqu01,UTA,$75000,,,,,,,$75000
546,Ryan Arcidiacono\arcidry01,SAS,$75000,,,,,,,$75000
547,Kaleb Tarczewski\tarczka01,OKC,$75000,,,,,,,$75000
548,Keith Benson\bensoke02,MIA,$75000,,,,,,,$75000
549,Mike Tobey\tobeymi01,CHO,$75000,,,,,,,$75000
550,Reggie Williams\willire02,NOP,$72193,,,,,,10-day contract,$72193
551,Lance Stephenson\stephla01,MIN,$72193,,,,,,,$72193
552,Gary Neal\nealga01,ATL,$72193,,,,,,,$72193
553,Kyle Collinsworth\colliky01,DAL,$70000,,,,,,,$70000
554,Thomas Walkup\walkuth01,CHI,$69500,,,,,,,$69500
555,Jordan Farmar\farmajo01,SAC,$66384,,,,,,,$66384
556,Shawn Long\longsh01,PHI,$65000,,,,,,,$65000
557,James Webb\webbja01,PHI,$65000,,,,,,,$65000
558,Chasson Randle\randlch01,PHI,$63938,,,,,,,$63938
559,Okaro White\whiteok01,MIA,$63938,,,,,,,$63938
560,Pierre Jackson\jackspi01,DAL,$63938,,,,,,,$63938
561,Mike Tobey\tobeymi01,CHO,$63938,,,,,,,$63938
562,Zach Auguste\augusza01,LAL,$60000,,,,,,,$60000
563,Hollis Thompson\thompho01,NOP,$59747,,,,,,10-day contract,$59747
564,Johnny O'Bryant\obryajo01,CHO,$57672,,,,,,10-day contract,$57672
565,Brady Heslip\heslibr01,TOR,$56500,,,,,,,$56500
566,Anthony Brown\brownan02,ORL,$51449,,,,,,,$51449
567,Axel Toupane\toupaax01,MIL,$51449,,,,,,10-day contract,$51449
568,David Nwaba\nwabada01,LAL,$51449,,,,,,10-day contract,$51449
569,Briante Weber\weberbr01,CHO,$51449,,,,,,10-day contract,$51449
570,Jarrod Uthoff\uthofja01,TOR,$50000,,,,,,,$50000
571,E.J. Singler\singlej01,TOR,$50000,,,,,,,$50000
572,Yanick Moreira\moreiya01,TOR,$50000,,,,,,,$50000
573,Cat Barber\barbeca01,PHI,$50000,,,,,,,$50000
574,Dionte Christmas\chrisdi01,PHI,$50000,,,,,,,$50000
575,Reggie Williams\willire02,OKC,$50000,,,,,,,$50000
576,Alex Caruso\carusal01,OKC,$50000,,,,,,,$50000
577,Ben Bentil\bentibe01,IND,$50000,,,,,,,$50000
578,Julyan Stone\stoneju01,IND,$50000,,,,,,,$50000
579,Isaiah Taylor\taylois01,HOU,$50000,,,,,,,$50000
580,Scott Wood\woodsc01,GSW,$50000,,,,,,,$50000
581,Cameron Jones\jonesca02,GSW,$50000,,,,,,,$50000
582,Elgin Cook\cookel01,GSW,$50000,,,,,,,$50000
583,D.J. Kennedy\kennedj01,DEN,$50000,,,,,,,$50000
584,Nate Wolters\woltena01,DEN,$50000,,,,,,,$50000
585,Damion Lee\leeda03,BOS,$50000,,,,,,,$50000
586,Matt Costello\costema01,ATL,$50000,,,,,,,$50000
587,Beau Beech\beechbe01,BRK,$45000,,,,,,,$45000
588,Pierre Jackson\jackspi01,DAL,$41560,,,,,,,$41560
589,Alex Poythress\poythal01,IND,$35381,,,,,,,$35381
590,D.J. Stephens\stephdj01,MEM,$35000,,,,,,,$35000
591,Phil Pressey\pressph01,GSW,$35000,,,,,,,$35000
592,Marcus Georges-Hunt\georgma01,MIA,$31969,,,,,,,$31969
593,Yogi Ferrell\ferreyo01,DAL,$31969,,,,,,,$31969
594,Ben Bentil\bentibe01,DAL,$31969,,,,,,10-day contract,$31969
595,Quinn Cook\cookqu01,DAL,$31969,,,,,,10-day contract,$31969
596,Matt Costello\costema01,MEM,$31500,,,,,,,$31500
597,Nikola Jovanovic\jovanni01,DET,$30000,,,,,,,$30000
598,Lamar Patterson\pattela01,ATL,$25725,,,,,,,$25725
599,Tony Wroten\wroteto01,MEM,$25000,,,,,,,$25000
600,Nick Zeisloft\zeislni01,IND,$25000,,,,,,,$25000
601,Marcus Georges-Hunt\georgma01,BOS,$25000,,,,,,,$25000
602,Jalen Jones\jonesja04,BOS,$25000,,,,,,,$25000
603,Jameel Warney\warneja01,DAL,$20000,,,,,,,$20000
604,Dahntay Jones\jonesda02,CLE,$18255,,,,,,,$18255
605,Jordan Farmar\farmajo01,SAC,$16595,,,,,,,$16595
606,Ray McCallum\mccalra01,DET,$11949,,,,,,,$11949
607,P.J. Hairston\hairspj02,HOU,$11534,,,,,,,$11534
